City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Muzaffarabad,PK,2022-01-27 23:52:17,34.37,73.4711,39.52,45,0,7.23
242,Nueva Gerona,CU,2022-01-27 23:52:17,21.8833,-82.8,77.27,74,15,0.78
243,Martapura,ID,2022-01-27 23:52:17,-3.4167,114.85,77.09,100,20,4.61
244,Chake Chake,TZ,2022-01-27 23:52:18,-5.2459,39.7666,75.58,79,64,5.53
245,Vestmannaeyjar,IS,2022-01-27 23:52:18,63.4427,-20.2734,42.73,88,100,27.2
246,Narsaq,GL,2022-01-27 23:52:18,60.9167,-46.05,-0.9,90,12,6.67
247,Mattru,SL,2022-01-27 23:47:22,7.6244,-11.8332,74.57,90,81,1.23
248,Abhar,IR,2022-01-27 23:52:19,36.1468,49.218,27.14,74,20,16.2
249,Portland,US,2022-01-27 23:51:59,45.5234,-122.6762,52.79,59,0,3.0
250,Launceston,AU,2022-01-27 23:47:46,-41.45,147.1667,74.84,73,100,3.44
251,Pandrup,DK,2022-01-27 23:52:19,57.2215,9.6757,42.71,65,70,16.11
252,Slave Lake,CA,2022-01-27 23:52:20,55.2834,-114.769,26.58,86,0,4.61
253,Matara,LK,2022-01-27 23:52:20,5.9485,80.5353,71.37,85,88,7.25
254,North Bend,US,2022-01-27 23:48:41,43.4065,-124.2243,56.12,80,1,6.91
255,Isfana,KG,2022-01-27 23:52:20,39.8386,69.5306,25.36,38,95,9.64
256,La Rioja,ES,2022-01-27 23:52:21,42.25,-2.5,35.04,66,2,5.77
257,Sergeyevka,KZ,2022-01-27 23:52:21,53.88,67.4158,12.69,93,100,5.97
258,Vangaindrano,MG,2022-01-27 23:52:21,-23.35,47.6,71.76,85,99,2.53
259,Belyy Yar,RU,2022-01-27 23:52:22,53.6039,91.3903,-5.91,89,100,2.24
260,Kashi,CN,2022-01-27 23:52:22,39.4547,75.9797,25.27,53,0,8.95
261,Nardaran,AZ,2022-01-27 23:52:22,40.5561,50.0056,38.84,81,75,20.71
262,Bua Yai,TH,2022-01-27 23:52:23,15.5855,102.4259,78.98,93,44,6.55
263,Dolores,AR,2022-01-27 23:52:23,-36.3132,-57.6792,57.65,67,20,8.7
264,Gravdal,NO,2022-01-27 23:52:23,68.1214,13.5031,31.68,56,100,23.47
265,Puerto Quijarro,BO,2022-01-27 23:52:24,-17.7833,-57.7667,75.7,89,100,2.53
266,Nanortalik,GL,2022-01-27 23:52:24,60.1432,-45.2371,12.88,76,60,10.96
267,Manado,ID,2022-01-27 23:52:24,1.487,124.8455,77.77,94,40,0.0
268,Margate,GB,2022-01-27 23:52:25,51.3813,1.3862,42.75,84,24,3.0
269,Okhotsk,RU,2022-01-27 23:52:25,59.3833,143.3,-6.07,78,34,18.63
270,Beruwala,LK,2022-01-27 23:52:25,6.4788,79.9828,76.06,80,71,3.09
271,George,ZA,2022-01-27 23:52:26,-33.963,22.4617,65.75,94,75,3.44
272,Kashiwazaki,JP,2022-01-27 23:52:26,37.3667,138.55,33.89,83,100,8.95
273,Faya,SA,2022-01-27 23:52:26,18.3851,42.4509,52.32,86,33,0.98
274,Lagoa,PT,2022-01-27 23:52:27,39.05,-27.9833,59.11,74,22,16.42
